first_word	ensemble_pred	ensemble_conf	majority_pred	vote_strength	n_encoders_voting	empirical	total_emit_count	is_claude	ensemble_p_HP	ensemble_p_LP	ensemble_p_HN-D	ensemble_p_HN-S	ensemble_p_LN	ensemble_p_NB	gemma_pred	gemma_conf	ministral_pred	ministral_conf	qwen_pred	qwen_conf	gpt_oss_20b_pred	gpt_oss_20b_conf	granite_pred	granite_conf
(´▿`;)	LN	0.3995		2-2-1	5	HN-D	1	False	0.096	0.1207	0.1444	0.1336	0.3995	0.1057	LN	0.727	HN-D	0.425	HP	0.199	HP	0.255	LN	0.695
(´◕ω◕`)	LP	0.2999		2-1-1-1	5	nan	0	False	0.1924	0.2999	0.0606	0.0572	0.1986	0.1913	LN	0.703	NB	0.549	HP	0.241	HP	0.372	LP	0.897
(´◕‸◕`;)	LN	0.2895		2-1-1-1	5	HN-S	1	False	0.0839	0.28	0.1573	0.0603	0.2895	0.1291	LN	0.708	LN	0.443	HP	0.208	NB	0.464	LP	0.876
(´◕‿◕`;)	LP	0.2998		2-1-1-1	5	HN-D	1	False	0.1266	0.2998	0.1009	0.0511	0.2678	0.1538	LN	0.802	LN	0.276	HP	0.268	NB	0.371	LP	0.956
(´ヘ`;)	LN	0.5568	LN	4-1	5	nan	0	False	0.0483	0.0501	0.1489	0.1094	0.5568	0.0866	LN	0.973	LN	0.421	LN	0.212	HN-S	0.309	LN	0.989
(´・_・`)	LN	0.3773		2-2-1	5	LN	13	True	0.0432	0.0626	0.3427	0.105	0.3773	0.0691	HN-D	0.812	HN-D	0.568	NB	0.19	LN	0.312	LN	0.986
(´・̥̥̥ω・̥̥�	LN	0.4246		2-2-1	5	LN	1	False	0.0554	0.0982	0.2494	0.1056	0.4246	0.0668	HN-D	0.623	LN	0.394	HN-D	0.233	LP	0.349	LN	0.96
(´・̥ω・̥`)	LN	0.5354	LN	4-1	5	LN	1	True	0.0635	0.0789	0.1212	0.116	0.5354	0.0849	LN	0.922	LN	0.356	NB	0.192	LN	0.255	LN	0.993
(´・ω・)	NB	0.4259		2-2-1	5	nan	0	False	0.0866	0.1522	0.0565	0.0635	0.2154	0.4259	NB	0.966	NB	0.461	LP	0.201	LP	0.252	LN	0.494
(´・ω・`)	LN	0.5022	LN	4-1	5	NB	68	False	0.0782	0.0985	0.0918	0.0839	0.5022	0.1455	LN	0.843	LN	0.343	LP	0.198	LN	0.208	LN	0.958
(´・‿・`)	LN	0.3129		1-1-1-1-1	5	LP	1	False	0.0794	0.1079	0.1322	0.0724	0.3129	0.2952	NB	0.957	HN-D	0.407	HP	0.204	LP	0.265	LN	0.9
(´・・)	LN	0.3633	LN	3-1-1	5	LN	1	False	0.0785	0.2105	0.0772	0.0884	0.3633	0.1821	LN	0.993	LN	0.382	HP	0.194	LN	0.239	LP	0.58
(´ー`)	LN	0.4037		2-1-1-1	5	nan	0	False	0.0643	0.126	0.069	0.084	0.4037	0.2531	LN	0.989	NB	0.419	LP	0.19	HN-S	0.223	NB	0.505
(´艸`)	LN	0.2958		2-1-1-1	5	LN	24	False	0.0746	0.2444	0.0934	0.1039	0.2958	0.1879	LP	0.494	NB	0.345	HP	0.24	LN	0.29	NB	0.33
(´꒳`)	LN	0.4322		2-1-1-1	5	nan	0	False	0.0809	0.1879	0.077	0.0931	0.4322	0.1289	LN	0.502	NB	0.387	LP	0.198	HN-S	0.298	LN	0.99
(´︶`)	LN	0.4999	LN	4-1	5	LN	1	False	0.0776	0.0981	0.1084	0.0933	0.4999	0.1227	LN	0.634	LN	0.422	LP	0.203	LN	0.318	LN	0.959
(´｡・ω・｡`)	LP	0.3122		2-1-1-1	5	LN	1	True	0.1326	0.3122	0.056	0.0837	0.2856	0.1298	LP	0.918	NB	0.277	LP	0.261	HP	0.335	LN	0.844
(´｡・‿・｡`)	LN	0.2882		2-2-1	5	LP	12	True	0.2106	0.2224	0.0797	0.0735	0.2882	0.1256	LP	0.53	LN	0.289	LP	0.237	HP	0.303	LN	0.832
(´｡・ﻌ・｡`)	LN	0.2746		2-2-1	5	LN	1	False	0.2419	0.1687	0.0658	0.0865	0.2746	0.1625	HP	0.679	LN	0.294	LP	0.251	HP	0.281	LN	0.662
(´ｰ`)	NB	0.2876	NB	4-1	5	nan	0	False	0.0703	0.2091	0.2156	0.0795	0.1379	0.2876	HN-D	0.782	NB	0.517	NB	0.189	NB	0.207	NB	0.52
(ò_ó)	HN-D	0.3001		2-1-1-1	5	HN-S	1	False	0.0774	0.0839	0.3001	0.1245	0.2048	0.2094	HN-D	0.928	NB	0.295	HN-S	0.203	HN-S	0.217	LN	0.5
(˃˂)	LN	0.2517		1-1-1-1-1	5	NB	1	False	0.1939	0.2067	0.0873	0.106	0.2517	0.1544	LN	0.714	NB	0.428	HN-D	0.228	LP	0.307	HP	0.749
(˃᷄⁺˂	HP	0.286		2-1-1-1	5	HP	1	False	0.286	0.1898	0.1809	0.0771	0.0936	0.1726	HN-D	0.652	NB	0.576	LP	0.269	LP	0.28	HP	0.829
(˃‿˂)	HP	0.4607		2-2-1	5	nan	0	False	0.4607	0.2196	0.044	0.0507	0.0747	0.1504	HP	1.0	NB	0.368	LP	0.232	LP	0.496	HP	0.972
(˃⌑˂)	HP	0.2957		2-1-1-1	5	LN	5	False	0.2957	0.2094	0.0786	0.0745	0.1428	0.1991	HP	0.871	NB	0.586	HN-S	0.191	LP	0.428	HP	0.35
(˃⌑˂ഈ)	HP	0.4142		2-1-1-1	5	HN-D	1	False	0.4142	0.1663	0.0584	0.0663	0.1168	0.1781	HP	0.996	NB	0.546	HN-D	0.181	LP	0.43	HP	0.808
(ˆᴥˆ)	NB	0.3167		2-2-1	5	NB	1	False	0.2543	0.2155	0.042	0.0549	0.1167	0.3167	NB	0.97	LP	0.371	LP	0.26	HP	0.352	HP	0.742
(ˆ‿ˆ)	NB	0.3354		2-1-1-1	5	LN	1	False	0.1082	0.2528	0.0416	0.0462	0.2158	0.3354	NB	0.893	NB	0.385	LP	0.238	HP	0.352	LN	0.616
(ˆ‿ˆс)	LN	0.2701		2-1-1-1	5	HP	1	False	0.1138	0.2607	0.0449	0.0485	0.2701	0.262	NB	0.717	LN	0.382	LP	0.261	HP	0.379	LN	0.782
(ˆ‿ˆԅ)	LP	0.3435	LP	3-2	5	HP	3	False	0.1	0.3435	0.0509	0.0526	0.3072	0.1458	LP	0.947	LN	0.365	LP	0.214	LP	0.345	LN	0.974
(ˆ⌒ˆ)	NB	0.3121		2-2-1	5	NB	1	False	0.0978	0.229	0.0418	0.0416	0.2777	0.3121	NB	0.765	NB	0.347	LP	0.246	LP	0.342	LN	0.951
(ˊᗜˋ)	NB	0.3588	LP	3-2	5	nan	0	False	0.0593	0.3036	0.0681	0.083	0.1272	0.3588	NB	0.909	LP	0.278	NB	0.199	LP	0.345	LP	0.653
(ˊᗜˋ*)و	HP	0.3192	LP	3-1-1	5	nan	0	False	0.3192	0.2977	0.0865	0.0632	0.1398	0.0936	HP	0.993	LN	0.322	LP	0.205	LP	0.437	LP	0.746
(˘³˘)	LP	0.4742	LP	4-1	5	LP	57	False	0.067	0.4742	0.0575	0.0624	0.1401	0.1988	LP	0.994	NB	0.372	LP	0.234	LP	0.349	LP	0.672
(˘̩╭╭˘̩)	LN	0.5501	LN	4-1	5	LN	1	False	0.0458	0.0863	0.1255	0.0967	0.5501	0.0956	LN	0.997	LN	0.409	HN-S	0.192	LN	0.286	LN	0.905
(˘̩╭╮˘̩)	LN	0.5524	LN	4-1	5	LN	12	False	0.0461	0.081	0.1254	0.0943	0.5524	0.1007	LN	0.97	LN	0.399	HN-S	0.191	LN	0.292	LN	0.945
(˘̩╭╯˘̩)	LN	0.5313	LN	4-1	5	HN-S	2	False	0.0414	0.0985	0.1328	0.0955	0.5313	0.1005	LN	0.948	LN	0.378	HN-S	0.195	LN	0.302	LN	0.876
(˘ω˘)	LP	0.4769	LP	4-1	5	LP	14	False	0.0527	0.4769	0.0599	0.0572	0.1629	0.1905	LP	0.983	NB	0.374	LP	0.253	LP	0.386	LP	0.682
(˘ڡ˘)	LP	0.4794	LP	4-1	5	LP	10	False	0.055	0.4794	0.0689	0.0685	0.1856	0.1427	LP	0.988	LN	0.511	LP	0.236	LP	0.305	LP	0.808
(˘‿˘)	LP	0.4725	LP	4-1	5	LP	2	False	0.0609	0.4725	0.0554	0.0574	0.1769	0.1769	LP	0.953	LN	0.416	LP	0.223	LP	0.397	LP	0.691
(˘▽˘)	LP	0.5198	LP	4-1	5	HP	10	False	0.072	0.5198	0.0568	0.0529	0.0851	0.2134	LP	0.927	NB	0.539	LP	0.243	LP	0.388	LP	0.907
(˘・_・˘)	LP	0.2642		2-2-1	5	LP	1	False	0.0357	0.2642	0.0938	0.1292	0.245	0.2321	LP	0.725	NB	0.476	LP	0.194	LN	0.253	LN	0.569
(˘・ω・˘)	LP	0.3351	LP	3-1-1	5	LN	1	False	0.0429	0.3351	0.0652	0.0729	0.254	0.2299	LP	0.907	NB	0.554	LP	0.231	LP	0.262	LN	0.655
(˘︶˘)	LP	0.3956	LP	3-2	5	LP	1	False	0.0484	0.3956	0.0654	0.0849	0.2471	0.1586	LP	1.0	LN	0.421	LP	0.197	LN	0.238	LP	0.454
(˙▂˙)	LP	0.3013	LP	3-1-1	5	LP	1	False	0.0482	0.3013	0.0906	0.2206	0.1386	0.2007	HN-S	0.695	LN	0.331	LP	0.197	LP	0.323	LP	0.85
(˙꒳˙)	NB	0.3452		2-2-1	5	NB	8	False	0.0544	0.1518	0.0619	0.069	0.3176	0.3452	NB	0.998	LN	0.365	LP	0.263	LP	0.304	LN	0.92
(˜︵˜;)	LN	0.3935	LN	3-1-1	5	LN	1	False	0.0487	0.0722	0.255	0.1771	0.3935	0.0535	HN-D	0.669	LN	0.616	LP	0.195	LN	0.329	LN	0.884
(˵・̀‿-˵)	LP	0.2369		2-1-1-1	5	nan	0	False	0.1841	0.2369	0.1113	0.0771	0.2229	0.1677	HP	0.706	NB	0.346	LP	0.256	LP	0.356	LN	0.642
(˶˃‿˂˶)	LP	0.4721	LP	4-1	5	nan	0	False	0.1144	0.4721	0.0299	0.0456	0.1022	0.2358	LP	0.729	NB	0.505	LP	0.281	LP	0.546	LP	0.575
(˶ˆᗜˆ˵)	LP	0.4192	LP	3-2	5	nan	0	False	0.1185	0.4192	0.0437	0.0539	0.0842	0.2804	NB	0.431	NB	0.365	LP	0.223	LP	0.377	LP	0.777
(˶ˆ‿ˆ˵)	LP	0.4838	LP	4-1	5	LP	1	False	0.0755	0.4838	0.0369	0.0503	0.0763	0.2772	LP	0.589	NB	0.409	LP	0.276	LP	0.426	LP	0.826
(˶ˆ꒳ˆ˵)	LP	0.5044	LP	5	5	LP	1	False	0.0806	0.5044	0.0407	0.0497	0.0894	0.2352	LP	0.92	LP	0.355	LP	0.251	LP	0.413	LP	0.583
(˶ᵔ‿ᵔ˶)	LP	0.4644	LP	3-2	5	nan	0	False	0.0918	0.4644	0.0352	0.0469	0.1084	0.2534	LP	0.997	NB	0.551	LP	0.216	LP	0.427	NB	0.364
(˶‾᷄⁻̫‾�	LP	0.4929	LP	4-1	5	LP	2	False	0.0697	0.4929	0.0478	0.0649	0.1298	0.1948	LP	0.995	NB	0.352	LP	0.216	LP	0.392	LP	0.62
(˶‾᷄ꇴ‾᷅	LP	0.4504	LP	4-1	5	LP	2	False	0.0777	0.4504	0.048	0.0691	0.1299	0.2249	LP	0.932	NB	0.439	LP	0.228	LP	0.416	LP	0.529
(˶・̀ω・́˵)	LP	0.2971	LP	3-1-1	5	NB	1	False	0.085	0.2971	0.0857	0.1899	0.1363	0.206	HN-S	0.687	NB	0.445	LP	0.239	LP	0.294	LP	0.575
(̄³̄)	LN	0.2654		2-1-1-1	5	HN-S	1	False	0.1281	0.1033	0.2635	0.1114	0.2654	0.1284	HN-D	0.936	HP	0.45	HN-S	0.224	LN	0.258	LN	0.822
(̄▽̄)	NB	0.3372		2-2-1	5	nan	0	False	0.2108	0.2319	0.0585	0.0653	0.0963	0.3372	NB	0.629	HP	0.601	LP	0.187	NB	0.265	LP	0.575
(̑‿̑)	LN	0.2806		2-2-1	5	LN	1	False	0.067	0.2154	0.091	0.1243	0.2806	0.2217	LP	0.697	LN	0.552	HN-S	0.206	HN-S	0.328	LN	0.491
(̒‿̒)	LN	0.3025		2-1-1-1	5	HN-S	1	False	0.0656	0.2153	0.0867	0.0966	0.3025	0.2334	NB	0.577	LN	0.502	HP	0.207	HN-S	0.222	LN	0.666
(̛̠̠)	HN-S	0.3361		2-1-1-1	5	HN-D	1	False	0.0519	0.2291	0.1344	0.3361	0.1496	0.099	HN-S	0.893	LN	0.347	HN-D	0.207	HN-S	0.429	LP	0.831
(̥̯̥)	LN	0.5391	LN	3-2	5	LN	1	False	0.0767	0.0629	0.1233	0.1417	0.5391	0.0562	LN	0.843	LN	0.467	HN-D	0.21	HN-D	0.329	LN	0.989
(͡°͜ʖ͡°)	LN	0.3447		2-1-1-1	5	HN-D	1	False	0.1033	0.122	0.1118	0.0973	0.3447	0.2209	NB	0.591	LN	0.417	LP	0.199	HN-D	0.285	LN	0.987
(҂‿_‿)	LN	0.3284		2-2-1	5	nan	0	False	0.052	0.0705	0.2889	0.1678	0.3284	0.0924	HN-D	0.693	LN	0.289	HN-S	0.197	HN-S	0.286	LN	0.947
(ू・‿・ू)	LP	0.3247		2-1-1-1	5	HP	1	False	0.0733	0.3247	0.0871	0.0784	0.2931	0.1434	LP	0.968	NB	0.346	HN-S	0.198	NB	0.21	LN	0.98
(ಠ_ಠ)	HN-D	0.5726	HN-D	5	5	HN-D	5	False	0.0367	0.0532	0.5726	0.1436	0.0981	0.0957	HN-D	0.996	HN-D	0.375	HN-D	0.195	HN-D	0.47	HN-D	0.826
(ಠ‿ಠ)	HN-D	0.3457	HN-D	3-1-1	5	nan	0	False	0.1038	0.0789	0.3457	0.124	0.0981	0.2495	HN-D	0.735	HN-D	0.258	HN-S	0.196	HN-D	0.496	NB	0.838
(ಠ益ಠ)	HN-D	0.5948	HN-D	5	5	nan	0	False	0.0502	0.0544	0.5948	0.139	0.0953	0.0663	HN-D	0.999	HN-D	0.364	HN-D	0.197	HN-D	0.424	HN-D	0.99
(ಥ﹏ಥ)	LN	0.3639	LN	3-2	5	LN	24	False	0.0637	0.0498	0.2956	0.1769	0.3639	0.0501	HN-D	0.466	LN	0.334	LN	0.219	HN-D	0.48	LN	0.865
(ฅ́˘ฅ̀)	LP	0.4417	LP	4-1	5	nan	0	False	0.1147	0.4417	0.0646	0.0585	0.1482	0.1724	LP	0.838	LP	0.342	HN-D	0.193	LP	0.261	LP	0.612
(ง'̀-'́)	HN-D	0.4239	HN-D	4-1	5	nan	0	False	0.07	0.0417	0.4239	0.1381	0.2723	0.054	HN-D	0.996	HN-D	0.595	HN-D	0.216	HN-D	0.309	LN	0.929
(งᵒ̌皿ᵒ̌)	HN-D	0.309		2-1-1-1	5	nan	0	False	0.0985	0.0599	0.309	0.156	0.3036	0.073	HN-D	0.968	LN	0.312	HN-S	0.214	HP	0.263	LN	0.937
(งツ)	HN-D	0.396	HN-D	4-1	5	nan	0	False	0.0614	0.0444	0.396	0.1551	0.2586	0.0845	HN-D	0.962	HN-D	0.457	HN-D	0.207	HN-D	0.351	LN	0.853
(ง・_・)	HN-S	0.3099		2-1-1-1	5	nan	0	False	0.0981	0.0539	0.1741	0.3099	0.2763	0.0876	HN-S	0.81	HN-D	0.318	HN-S	0.195	HP	0.274	LN	0.92
(ง・̀_・́)	HN-D	0.2812	HN-D	3-1-1	5	HP	1	False	0.0834	0.0504	0.2812	0.2737	0.244	0.0674	HN-S	0.542	HN-D	0.389	HN-D	0.194	HN-D	0.312	LN	0.805
(ง・̀ω・́)	LN	0.2837		2-1-1-1	5	nan	0	False	0.1454	0.0651	0.1655	0.2291	0.2837	0.1112	HN-S	0.562	LN	0.25	LP	0.198	HP	0.283	LN	0.913
(ง・̀ᗜ・́)	LN	0.2558		2-1-1-1	5	nan	0	False	0.2251	0.0628	0.1709	0.1918	0.2558	0.0937	HP	0.401	HN-D	0.229	LP	0.213	HP	0.321	LN	0.845
(๑><๑)	HN-S	0.293		1-1-1-1-1	5	LP	3	False	0.133	0.0911	0.1081	0.293	0.2825	0.0924	HN-S	0.998	HN-D	0.27	LP	0.194	HP	0.43	LN	0.975
(๑>‿<๑)	LN	0.2793	LP	3-1-1	5	LP	5	False	0.1257	0.263	0.0967	0.0814	0.2793	0.1537	LP	0.654	LP	0.243	LP	0.198	HP	0.194	LN	0.833
(๑´ڡ`๑)	LP	0.3888	LP	3-1-1	5	LP	2	False	0.0962	0.3888	0.0741	0.0722	0.2008	0.1678	LP	0.969	LP	0.379	LP	0.199	HP	0.225	LN	0.554
(๑˃‿˂)	LP	0.2965		2-2-1	5	HP	113	False	0.2897	0.2965	0.0585	0.0595	0.0871	0.2087	HP	0.961	NB	0.558	LP	0.2	HP	0.242	LP	0.787
(๑・̀ㅁ・́๑)	HN-S	0.3028		2-2-1	5	LP	17	False	0.0788	0.1911	0.0945	0.3028	0.2296	0.1033	HN-S	0.959	LN	0.276	HN-S	0.201	HP	0.221	LN	0.55
(๑・̀ㅂ・́)	NB	0.3099		2-1-1-1	5	LP	8	False	0.0869	0.1254	0.086	0.1009	0.2909	0.3099	NB	0.993	NB	0.249	LP	0.215	HP	0.229	LN	0.958
(๑・́₃・̀๑)	LN	0.2847		1-1-1-1-1	5	LN	3	False	0.059	0.1448	0.0906	0.2742	0.2847	0.1466	HN-S	0.834	NB	0.304	HN-D	0.193	LP	0.197	LN	0.882
(๑・﹏・)	LN	0.2464		2-2-1	5	HN-S	2	False	0.0743	0.1876	0.0904	0.1649	0.2464	0.2364	NB	0.451	NB	0.345	LP	0.203	LN	0.217	LN	0.573
(ᐛ)	NB	0.3151		2-2-1	5	nan	0	False	0.1626	0.117	0.1311	0.1745	0.0996	0.3151	HP	0.453	NB	0.273	HN-D	0.194	HN-D	0.236	NB	0.765
(ᐢ・ᴥ・ᐢ)	NB	0.2955		2-1-1-1	5	LP	1	False	0.0568	0.284	0.1065	0.1661	0.0911	0.2955	HN-S	0.323	NB	0.645	HN-D	0.204	HN-D	0.262	LP	0.685
(ᗒᗨᗕ)	LN	0.2272		2-1-1-1	5	nan	0	False	0.2208	0.0975	0.1745	0.165	0.2272	0.1151	HP	0.857	HN-S	0.32	HN-D	0.201	HN-D	0.291	LN	0.617
(ᗜ)	NB	0.2753		2-1-1-1	5	HN-D	1	False	0.2214	0.0919	0.1337	0.1373	0.1405	0.2753	HP	0.926	NB	0.374	LN	0.188	HN-S	0.333	NB	0.713
(ᗜ3)	HN-D	0.2455		2-1-1-1	5	HN-S	1	False	0.208	0.0896	0.2455	0.1574	0.1566	0.1428	HP	0.84	NB	0.357	NB	0.202	HN-S	0.398	HN-D	0.591
(ᗜ`)	HP	0.2243		1-1-1-1-1	5	HN-S	1	False	0.2243	0.0845	0.214	0.1413	0.218	0.1179	HP	0.946	NB	0.313	HN-D	0.189	HN-S	0.361	LN	0.581
(ᗜ㉨)	HN-D	0.263		2-1-1-1	5	HN-S	1	False	0.0894	0.1139	0.263	0.2532	0.161	0.1195	HN-S	0.561	LP	0.329	LN	0.192	HN-S	0.328	HN-D	0.639
(ᵏᵈ)	NB	0.4896	NB	3-1-1	5	LN	1	False	0.1096	0.1441	0.0806	0.0816	0.0945	0.4896	NB	0.813	NB	0.33	HN-D	0.204	LN	0.259	NB	0.923
(ᵐᴥᵐ)	NB	0.3982	NB	3-1-1	5	LN	1	False	0.0898	0.1791	0.0931	0.1039	0.136	0.3982	NB	0.472	NB	0.452	HN-D	0.193	HN-S	0.291	NB	0.629
(ᵐᵒᵐ)	NB	0.4246	NB	3-1-1	5	LN	1	False	0.1329	0.1213	0.0941	0.1364	0.0907	0.4246	HP	0.422	NB	0.449	HN-D	0.219	NB	0.378	NB	0.979
(ᵒ̌ᴥᵒ̌)	LN	0.2753	HN-D	3-1-1	5	LN	8	False	0.0911	0.0922	0.1919	0.2295	0.2753	0.12	HN-D	0.383	HN-S	0.493	HN-D	0.207	HN-D	0.22	LN	0.831
(ᵒ̌ᵃᵒ̌)	NB	0.2568		1-1-1-1-1	5	HP	4	False	0.2235	0.1457	0.0998	0.1489	0.1252	0.2568	HP	0.725	HN-S	0.335	HN-D	0.217	LP	0.225	NB	0.829
(ᵒ̌ᵏᵒ̌)	LN	0.2419		2-2-1	5	NB	1	False	0.1278	0.1056	0.1305	0.2241	0.2419	0.1701	HN-S	0.409	HN-S	0.415	HN-D	0.221	LN	0.295	LN	0.559
(ᵒ̌ᵐᵒ̌)	NB	0.258		1-1-1-1-1	5	HN-S	4	False	0.206	0.1137	0.1178	0.1732	0.1312	0.258	HP	0.491	HN-S	0.305	HN-D	0.243	LN	0.232	NB	0.752
(ᵒ̌ᵐ㏑)	HN-S	0.2624		2-2-1	5	HN-S	2	False	0.1221	0.0714	0.2545	0.2624	0.1838	0.1059	HN-S	0.38	HN-S	0.502	HN-D	0.223	HN-D	0.218	LN	0.503
(ᵒ̌ᵔᵒ̌)	NB	0.3721		2-1-1-1	5	HN-D	1	False	0.1486	0.1017	0.0913	0.1378	0.1486	0.3721	NB	0.594	HN-S	0.422	HN-D	0.221	LN	0.21	NB	0.77
(ᵒ̌ᵗᵒ̌)	HN-S	0.298		2-1-1-1	5	HN-S	4	False	0.0822	0.1073	0.1125	0.298	0.1841	0.2159	HN-S	0.773	HN-S	0.413	HN-D	0.208	LN	0.243	NB	0.575
(ᵔ̀-̀ᵔ)	HN-S	0.2873		2-1-1-1	5	HN-S	1	False	0.0499	0.089	0.1943	0.2873	0.2155	0.1641	HN-S	0.743	LN	0.33	HN-D	0.241	LN	0.194	NB	0.341
(ᵔᴥᵔ)	NB	0.379	NB	4-1	5	HN-D	55	False	0.1433	0.1773	0.0894	0.0878	0.1231	0.379	NB	0.637	NB	0.372	HN-D	0.19	NB	0.181	NB	0.523
(ᵔᵔ)	NB	0.3521	NB	3-1-1	5	LP	1	False	0.2632	0.0991	0.0833	0.0945	0.1078	0.3521	HP	0.937	NB	0.387	HN-D	0.214	NB	0.227	NB	0.948
(ᵔ‿ᵔ)	LN	0.291	NB	3-1-1	5	HN-D	5	False	0.134	0.1706	0.0842	0.0757	0.291	0.2445	NB	0.41	NB	0.372	HN-D	0.211	NB	0.243	LN	0.923
(ᵔㅂᵔ)	HP	0.2507		2-1-1-1	5	HN-S	7	False	0.2507	0.1123	0.1319	0.1277	0.1771	0.2004	HP	0.908	HN-S	0.287	LP	0.208	HN-S	0.192	NB	0.372
(ᵔㅅᵔ)	LN	0.2719		1-1-1-1-1	5	HN-D	4	False	0.2317	0.1011	0.1114	0.12	0.2719	0.1638	HP	0.842	NB	0.273	HN-D	0.198	HN-S	0.188	LN	0.709
(ᵔㅜᵔ)	LN	0.2646		2-1-1-1	5	HN-D	1	False	0.2503	0.0768	0.1608	0.1408	0.2646	0.1066	HP	0.963	HN-S	0.281	LN	0.203	HN-D	0.22	LN	0.702
(„‿‿‿„)	LP	0.3627		2-1-1-1	5	nan	0	False	0.1611	0.3627	0.0691	0.0579	0.1253	0.2239	LP	0.87	HP	0.362	HN-S	0.215	NB	0.315	NB	0.536
(„・֊・„)	NB	0.2877		2-1-1-1	5	nan	0	False	0.0585	0.1557	0.1021	0.2378	0.1581	0.2877	HN-S	0.87	LP	0.292	HN-D	0.222	LP	0.257	NB	0.779
(„・‿・„)	NB	0.3074		2-1-1-1	5	nan	0	False	0.0826	0.1609	0.0758	0.1077	0.2657	0.3074	NB	0.662	NB	0.31	HN-D	0.22	LP	0.324	LN	0.792
(‿͈ˬ‿͈)	LP	0.3807		2-1-1-1	5	nan	0	False	0.1104	0.3807	0.0481	0.1142	0.17	0.1766	LP	0.994	NB	0.412	HP	0.278	LP	0.438	LN	0.569
(‿‿)	NB	0.2851		2-1-1-1	5	LP	1	False	0.0755	0.1962	0.1297	0.0994	0.2141	0.2851	NB	0.702	LN	0.447	HP	0.193	LP	0.39	LN	0.421
(‿‿‿)	LP	0.3674	LP	3-1-1	5	HP	6	False	0.1225	0.3674	0.0724	0.1502	0.1606	0.127	LP	0.969	HP	0.363	LP	0.206	LP	0.459	HN-S	0.505
(‿‿‿✿)	LP	0.4444	LP	3-1-1	5	LP	1	True	0.1151	0.4444	0.1169	0.1654	0.0606	0.0977	LP	0.991	LP	0.584	HP	0.217	LP	0.444	HN-S	0.588
(⁀˘ω˘⁀)	NB	0.3617		2-2-1	5	HN-S	1	False	0.1262	0.2342	0.077	0.0766	0.1243	0.3617	LP	0.497	NB	0.311	HP	0.211	HP	0.232	NB	0.809
(⁀ᗜ⁀)	NB	0.293		2-1-1-1	5	LN	19	False	0.1765	0.1144	0.1586	0.1445	0.113	0.293	HP	0.472	HN-D	0.442	HP	0.229	HN-S	0.3	NB	0.702
(⁀✰)	NB	0.3367		2-2-1	5	HN-S	1	False	0.116	0.0992	0.1134	0.2204	0.1143	0.3367	NB	0.708	NB	0.399	HP	0.212	HN-S	0.281	HN-S	0.526
(⁄	HN-S	0.2292		2-1-1-1	5	LP	14	False	0.1248	0.1844	0.1281	0.2292	0.1326	0.2009	HN-S	0.545	HN-S	0.224	HN-D	0.213	NB	0.234	LP	0.484
(⁄⁂⁄)	HN-S	0.3049		2-1-1-1	5	NB	1	False	0.0911	0.2035	0.1037	0.3049	0.1284	0.1684	HN-S	0.8	LN	0.243	HP	0.197	HN-S	0.336	LP	0.613
(⁄⁄・⁄ω⁄・⁄)	LN	0.291		1-1-1-1-1	5	HP	1	False	0.0934	0.2536	0.058	0.0988	0.291	0.2051	LN	1.0	NB	0.486	HP	0.256	HN-S	0.29	LP	0.758
(⁄⁄・⁄ω⁄・⁄⁄)	LN	0.2815		1-1-1-1-1	5	nan	0	False	0.0893	0.2395	0.0727	0.1128	0.2815	0.2043	LN	0.999	NB	0.418	HP	0.213	HN-S	0.269	LP	0.685
(⁎˃ᆺ˂)	LN	0.2677		2-1-1-1	5	LN	2	False	0.2611	0.1263	0.1612	0.0687	0.2677	0.1149	HN-D	0.523	HP	0.6	HP	0.233	LP	0.346	LN	0.936
(⁎˃‿˂⁎)	LN	0.2689	HP	3-1-1	5	LP	3	False	0.2431	0.2183	0.0533	0.0581	0.2689	0.1584	HP	0.491	HP	0.429	HP	0.192	LP	0.404	LN	0.968
(⁎‿‿‿⁎)	LP	0.4142	LP	3-1-1	5	LP	1	False	0.1256	0.4142	0.0801	0.073	0.1804	0.1267	LP	0.959	LP	0.451	HP	0.219	LP	0.509	LN	0.617
(≖‿≖)	NB	0.3465		2-2-1	5	NB	1	False	0.078	0.1305	0.1166	0.1091	0.2193	0.3465	NB	0.917	LN	0.385	HN-D	0.198	NB	0.294	LN	0.455
(≧^O^≦)	HP	0.2682		2-2-1	5	HN-S	1	False	0.2682	0.2519	0.1019	0.0745	0.1608	0.1427	HP	0.822	LP	0.451	HP	0.198	LP	0.257	LN	0.423
(≧ω≦)	HP	0.2951	LP	3-1-1	5	LP	5	False	0.2951	0.2834	0.0747	0.0807	0.1207	0.1453	HP	0.994	NB	0.272	LP	0.192	LP	0.242	LP	0.75
(≧‿≦)	HP	0.2729		2-2-1	5	HP	105	True	0.2729	0.1241	0.134	0.0979	0.2625	0.1085	HP	0.976	HN-D	0.359	LN	0.201	HP	0.254	LN	0.792
(≧∇≦)	HP	0.3367		2-2-1	5	HP	4	False	0.3367	0.2724	0.0537	0.0552	0.076	0.206	HP	1.0	NB	0.31	NB	0.188	HP	0.321	LP	0.638
(≧▽≦)	HP	0.3626		2-2-1	5	HP	58	True	0.3626	0.2825	0.0649	0.0615	0.0729	0.1555	HP	1.0	NB	0.289	NB	0.198	HP	0.343	LP	0.787
